Código;enunciado;alternativas;gpt-4o-mini_Matéria;gpt-4o-mini_Subtópico1;gpt-4o-mini_Subtópico2;claude-haiku-4-5_Matéria;claude-haiku-4-5_Subtópico1;claude-haiku-4-5_Subtópico2;concordam_materia
ENAM252-25;Considerando a necessidade de novas contratações de serviços de engenharia para a realização de obra pública e o dever de ética na Administração Pública, o Município Alfa elaborou lei e publicou edital com a inclusão da exigência de apresentação de programa de integridade, na fase licitatória de habilitação jurídica, por sociedades empresárias licitantes e interessadas no certame local. Analise juridicamente a conduta do Município Alfa, e assinale a afirmativa correta.;(A) As obrigatoriedades normativa e editalícia de apresentação do referido programa estão amparadas na Lei nº 12.846/2013 (Lei Anticorrupção) e na Lei nº 14.133/2021. A conduta municipal é juridicamente válida. | (B) O programa de integridade deve ser exigido do referido Município, pessoa jurídica de Direito Público, e não da sociedade empresária particular licitante, conforme a orientação normativa de governança e ética no espaço público. | (C) É inconstitucional e ilegal tal conduta municipal, uma vez que a matéria é de competência constitucional da União (normas gerais) e a Lei nº 14.133/2021 estimula que as empresas licitantes tenham programas de integridade, sem torná-los obrigatórios durante a licitação. | (D) A conduta municipal é legal e constitucionalmente válida, posto que está alinhada à nova obrigatoriedade constante da Lei nº 14.133/2021, norma de natureza geral em licitações e contratos administrativos, e amparada pela autonomia municipal para tratar de assuntos de interesse local. | (E) A lei editada e a exigência editalícia devem ser invalidadas, pois a exigência de apresentação do programa de integridade deve ocorrer no momento da emissão da primeira fatura decorrente do contrato a ser firmado com a licitante vencedora, a fim de não comprometer o princípio da ampla competitividade do certame. TIPO BRANCA – PÁGINA 12;II.DIREITO ADMINISTRATIVO;8. Licitação pública;10. Poder de Polícia;II.DIREITO ADMINISTRATIVO;8. Licitação pública;1. Administração Pública e Constituição;SIM
TRF422-17;Assinale a alternativa INCORRETA.;(A) Segundo entendimento do Supremo Tribunal Federal é desnecessário o exaurimento da via administrativa como pressuposto do interesse de agir em juízo, restando caracterizada a lesão a direito não somente pela rejeição do requerimento de concessão de benefício previdenciário pelo INSS em decisão pendente de recurso, mas também quando excedido o prazo legal para análise do pedido administrativo. | (B) O termo inicial dos efeitos financeiros de revisão de benefício previdenciário de aposentadoria por tempo de contribuição para aposentadoria especial, dada a inclusão de tempo especial, deve retroagir à data da concessão do benefício, porquanto o deferimento de tais verbas representa o reconhecimento tardio de um direito já incorporado ao patrimônio jurídico do segurado. | (C) A Lei nº 8.213/1991 excluiu o emprego do fator previdenciário para a aposentadoria especial e não para a aposentadoria por tempo de contribuição, porém, quando deferida com base na conversão de períodos de atividade especial em comum, o tempo especial utilizado convertido em comum é passível de incidência do fator previdenciário proporcional. | (D) O trabalhador intermitente é considerado segurado obrigatório da Previdência Social na categoria empregado, desde que a prestação de serviços se dê com subordinação, de forma não contínua, com alternância de períodos de prestação de serviços e de inatividade. | (E) O vínculo empregatício mantido entre cônjuges ou companheiros não impede o reconhecimento da qualidade de segurado do empregado, excluído o doméstico.;VI.DIREITO CIVIL;20. Direito do consumidor;sem aderência;sem aderência;sem aderência;sem aderência;NÃO
TJSP23-57;É vedado aos juízes, conforme dispõe o parágrafo único do artigo 95 da Constituição Federal,;(A) exercer, ainda que em disponibilidade, outro cargo ou função, sem exceção. | (B) dedicar-se à atividade político-partidária. | (C) exercer a advocacia no juízo ou tribunal do qual se afastou, antes de decorridos cinco anos do afastamento do cargo por aposentadoria ou exoneração. | (D) ser acionista de sociedade anônima de capital aberto que mantenha estabelecimento ou exerça atividade econômica no território de sua jurisdição.;I. DIREITO CONSTITUCIONAL;12. Poder Judiciário;sem aderência;I. DIREITO CONSTITUCIONAL;11. Poder Executivo;3. Teoria da norma constitucional no direito constitucional brasileiro vigente;SIM
TJMS20-37;A impugnação do Plano Individual de Atendimento, no âmbito da execução das medidas socioeducativas, conforme previsão expressa da Lei no 12.594/2012 (Lei do Sinase),;(A) no que ultrapassa os aspectos meramente formais, deve ser fundamentada em laudo técnico. | (B) uma vez admitida, obriga a designação de audiência para oitiva do adolescente, seus pais e técnicos do programa. | (C) suspende o prazo de reavaliação obrigatória da medida socioeducativa até que seja decidido o mérito da impugnação. | (D) não suspenderá a execução do plano individual, salvo determinação judicial em contrário. | (E) precede a homologação da guia de execução nas medidas socioeducativas privativas de liberdade.;VI.DIREITO CIVIL;16. Estatuto da Criança e do Adolescente;sem aderência;VI.DIREITO CIVIL;16. Estatuto da Criança e do Adolescente;sem aderência;SIM
TJMS20-98;Em mandado de segurança impetrado contra ato de fiscal ambiental que apreendeu animal silvestre (papagaio-verdadeiro) adquirido irregularmente, o impetrante confessa a origem ilícita da ave, mas alega que a adquiriu para sua filha pequena há 01 (um) ano, sendo a ave um verdadeiro membro da família. Alega, por fim, que a menina sente muita falta do papagaio. A ordem deverá ser;(A) negada, diante da origem ilícita do animal silvestre. | (B) concedida, tendo em vista a adaptabilidade do animal ao convívio humano. | (C) concedida em parte para permitir visitas da família ao cativeiro do animal. | (D) concedida em parte para permitir a permanência do animal com a família por mais 02 (dois) anos. | (E) negada com fundamento no princípio da pessoalidade da sanção.;II.DIREITO ADMINISTRATIVO;19. Mandado de segurança e seu regime constitucional;sem aderência;V.DIREITO PROCESSUAL CIVIL;20. O Poder Público em juízo;sem aderência;NÃO
TJSC25-80;De modo a estimular a importação de um determinado produto, o presidente da República, por Decreto, reduziu a zero a alíquota do Imposto de Importação (II) incidente sobre tal produto, com produção imediata de efeitos. Tal redução, segundo estimativa de impacto econômico-financeiro elaborada e juntada na Exposição de Motivos do Decreto, também reduzirá a arrecadação desse tributo em cerca de 250 milhões de reais. Diante desse cenário, tal redução de arrecadação:;"(A) deve ser acompanhada por demonstração pelo proponente de que a renúncia não afetará as metas de resultados fiscais previstas no anexo próprio da lei de diretrizes orçamentárias; | (B) não poderia ter efeitos imediatos, por violar o princípio da anterioridade tributária e o princípio da programação orçamentária anual; | (C) precisa ser acompanhada por medidas de compensação por meio do aumento de receita, proveniente da elevação de alíquotas desse imposto de importação incidente sobre outros produtos; | (D) precisa ser acompanhada por medidas de compensação por meio do aumento de receita, que pode ser proveniente da elevação de alíquotas desse imposto de importação incidente sobre outros produtos ou mesmo de qualquer outro tributo não relacionado à importação; | (E) não necessita ser acompanhada de medidas compensatórias da redução, nem de demonstração de que a renúncia foi considerada na estimativa de receita da lei orçamentária e de que não afetará as metas de resultados fiscais previstas no anexo próprio da lei de diretrizes orçamentárias. Tribunal de Justiça do Estado de Santa Catarina FGV Conhecimento Juiz Substituto  Tipo 1 – Branca – Página 27";VI.DIREITO CIVIL;14. Propriedade resolúvel;sem aderência;I. DIREITO CONSTITUCIONAL;14. Princípios do direito tributário e da ordem econômica;sem aderência;NÃO
TJSP22-92;No que tange aos princípios em matéria ambiental, é correto afirmar que;(A) o princípio da equidade intergerencial decorre das competências compartilhadas entre os entes federativos, em matéria ambiental. | (B) o princípio do desenvolvimento sustentável mereceu destaque na Constituição Cidadã. | (C) os princípios do poluidor pagador e do usuário pagador confundem-se. | (D) o princípio do ambiente ecologicamente equilibrado constitui extensão do direito à vida, cláusula pétrea e direito-dever fundamental. TJSP2102/001-JuizSubstituto 22 Confidencial até o momento da aplicação.;I. DIREITO CONSTITUCIONAL;8. Direitos fundamentais sociais;sem aderência;sem aderência;sem aderência;sem aderência;NÃO
TJGO21-14;No regime da Lei no 9.514, de 20 de novembro de 1997,;(A) a intimação para a purga da mora não dispensa a comunicação do devedor fiduciante acerca do processo de alienação extrajudicial. | (B) as controvérsias acerca de encargos contratuais e valor do imóvel impedem a alienação extrajudicial e a reintegração na posse. | (C) em não desocupando o imóvel, após a liminar de reintegração de posse, o devedor fiduciante pagará ao credor fiduciário taxa de ocupação de meio por cento do valor do imóvel, contada da data da alienação do bem. | (D) é assegurado ao fiduciário, seu cessionário e sucessores, assim como ao adquirente do imóvel no processo de alienação extrajudicial, a reintegração na posse do imóvel, que será concedida liminarmente, para desocupação em trinta dias, independentemente da consolidação da propriedade. | (E) a ausência de notificação do devedor fiduciante para o processo de alienação extrajudicial do imóvel resolve-se em perdas e danos, não obstando a consolidação da propriedade e a reintegração na posse do imóvel.;VI.DIREITO CIVIL;18. Marco Civil da Internet;sem aderência;VI.DIREITO CIVIL;14. Propriedade resolúvel;12. Propriedade;SIM
TJSP24-48;Quanto ao dever de testemunhar sobre fato relevante para o processo, é correto afirmar que;(A) a pessoa que estiver proibida de depor será dispensada do compromisso de dizer a verdade do que souber e lhe for perguntado. | (B) à testemunha amiga íntima do acusado será deferido o compromisso de dizer a verdade do que souber e lhe for perguntado. | (C) o ascendente da vítima pode se recusar a depor, mas se não for possível, por outro modo, obter-se a prova do fato e de suas circunstâncias, deverá depor sem o compromisso de dizer a verdade do que souber e lhe for perguntado. | (D) a qualquer momento da colheita do depoimento de testemunha, poderá ela ser contraditada.;V.DIREITO PROCESSUAL CIVIL;5. Participação dos sujeitos do processo;sem aderência;V.DIREITO PROCESSUAL CIVIL;8. Fase instrutória: conceito e características;5. Participação dos sujeitos do processo;SIM
TJPR21-27;Jennifer é mãe de Pablo, de 6 anos, sendo o genitor desconhecido. Jennifer combina com suas amigas de ir a um evento noturno no final de semana, deixando Pablo sozinho em casa. Durante a madrugada, em razão do choro intenso de Pablo, vizinhos acionam o Conselho Tutelar, que comparece ao local e aplica a medida protetiva emergencial de acolhimento institucional à criança. Na segunda-feira, após deliberação do colegiado, a Conselheira Tutelar ajuíza Representação por Infração Administrativa em face de Jennifer, com fulcro no Art. 249 da Lei nº 8.069/1990. A respeito desses fatos e considerando o disposto na Lei nº 8.069/1990, é correto afirmar que o acolhimento emergencial realizado pela Conselheira Tutelar é:;"(A) incabível, porque não houve decisão judicial prévia determinando o afastamento da criança do convívio familiar; | (B) cabível, e Jennifer poderia requerer diretamente ao Ministério Público a revisão da decisão colegiada do Conselho Tutelar que decidiu pelo acolhimento de Pablo; | (C) incabível, porque não houve ajuizamento de ação contenciosa em face da genitora pelo Ministério Público; | (D) cabível, e o Conselho Tutelar possui legitimidade ativa para propor a Representação por Infração Administrativa; | (E) incabível, configurando sanção disciplinar e crime previsto na Lei nº 8.069/1990.";VI.DIREITO CIVIL;16. Estatuto da Criança e do Adolescente;sem aderência;VI.DIREITO CIVIL;16. Estatuto da Criança e do Adolescente;sem aderência;SIM
